id,user_id,drug_id,alert_type,created_at
1,61,22,Expiry,2026-04-05 00:37:54.659722
2,88,90,Price Change,2026-04-07 08:10:39.601621
3,55,96,Low Stock,2026-04-10 00:04:01.184455
4,72,32,Expiry,2026-04-01 06:06:29.768597
5,15,99,Price Change,2026-04-10 21:53:39.249520
6,30,17,Price Change,2026-04-03 01:34:05.469467
7,99,28,Price Change,2026-04-07 19:45:28.863562
8,29,91,Low Stock,2026-04-11 01:03:46.849429
9,23,82,Low Stock,2026-04-02 18:21:49.019802
10,81,53,Expiry,2026-04-06 05:47:24.138653
11,61,74,Price Change,2026-04-07 07:53:11.511659
12,67,58,Price Change,2026-04-06 09:17:31.070915
13,40,21,Price Change,2026-04-04 13:04:23.566846
14,53,99,Price Change,2026-04-08 02:56:51.387458
15,37,11,Low Stock,2026-04-02 23:01:47.417377
16,17,65,Low Stock,2026-04-02 00:05:45.006318
17,81,80,Price Change,2026-04-01 15:06:12.256272
18,74,90,Expiry,2026-04-04 21:01:58.235025
19,61,3,Low Stock,2026-04-04 09:49:37.701938
20,87,80,Expiry,2026-04-04 11:37:51.371870
21,15,42,Expiry,2026-04-08 04:18:42.759673
22,42,7,Expiry,2026-04-01 11:13:01.453227
23,56,52,Low Stock,2026-04-09 22:15:11.861463
24,43,36,Low Stock,2026-04-04 02:04:15.736312
25,47,42,Low Stock,2026-04-05 02:53:53.325277
26,100,46,Low Stock,2026-04-03 04:14:43.138105
27,6,36,Low Stock,2026-04-09 11:15:00.989097
28,22,82,Expiry,2026-04-09 16:23:03.446028
29,28,82,Expiry,2026-04-04 23:32:23.377228
30,73,36,Low Stock,2026-04-08 01:21:47.707089
31,69,77,Low Stock,2026-04-06 07:49:08.202672
32,74,11,Expiry,2026-04-04 06:50:25.914345
33,20,12,Expiry,2026-04-06 20:12:19.615193
34,17,83,Expiry,2026-04-11 11:34:20.343917
35,8,64,Low Stock,2026-04-01 18:45:25.432792
36,75,29,Low Stock,2026-04-10 06:54:57.623616
37,100,20,Expiry,2026-04-04 10:07:10.538580
38,27,35,Low Stock,2026-04-09 18:22:59.670002
39,28,2,Expiry,2026-04-09 01:13:33.246171
40,36,25,Expiry,2026-04-07 20:46:00.919730
41,43,40,Expiry,2026-04-07 08:59:10.833172
42,89,93,Low Stock,2026-04-02 01:12:33.462365
43,21,48,Price Change,2026-04-10 22:53:50.507430
44,12,58,Low Stock,2026-04-09 02:32:10.127025
45,40,95,Expiry,2026-04-11 02:34:15.462763
46,51,44,Price Change,2026-04-02 20:32:51.487031
47,5,95,Low Stock,2026-04-05 01:11:38.310079
48,95,59,Price Change,2026-04-11 00:25:08.992395
49,62,65,Low Stock,2026-04-03 18:39:15.317948
50,13,40,Price Change,2026-04-08 18:49:09.437089
51,84,2,Price Change,2026-04-02 13:38:19.441193
52,58,10,Expiry,2026-04-04 00:25:15.480628
53,49,83,Price Change,2026-04-03 15:47:08.602192
54,26,5,Expiry,2026-04-05 16:54:54.155303
55,30,33,Price Change,2026-04-07 06:51:02.471097
56,1,54,Expiry,2026-04-02 01:31:26.687560
57,85,89,Low Stock,2026-04-10 19:14:16.161711
58,57,70,Low Stock,2026-04-03 09:25:57.001914
59,100,23,Low Stock,2026-04-06 02:53:53.352314
60,85,70,Price Change,2026-04-07 15:11:02.547798
61,74,49,Price Change,2026-04-02 08:42:44.167471
62,72,51,Low Stock,2026-04-04 14:57:57.728540
63,27,8,Low Stock,2026-04-04 19:45:51.208590
64,20,48,Expiry,2026-04-01 12:50:19.656857
65,53,35,Expiry,2026-04-03 02:52:02.786917
66,44,20,Price Change,2026-04-11 15:55:11.569478
67,3,42,Expiry,2026-04-08 03:11:59.014369
68,83,29,Low Stock,2026-04-04 00:54:27.792905
69,26,79,Expiry,2026-04-05 18:12:03.394182
70,30,71,Price Change,2026-04-08 03:59:48.713543
71,84,97,Low Stock,2026-04-08 03:30:56.015818
72,83,3,Expiry,2026-04-11 04:48:58.360802
73,64,58,Expiry,2026-04-10 02:53:31.006376
74,89,59,Price Change,2026-04-01 10:07:21.733987
75,100,62,Low Stock,2026-04-03 03:26:52.565217
76,25,7,Price Change,2026-04-09 21:56:28.397148
77,85,52,Low Stock,2026-04-08 08:09:56.839799
78,25,5,Low Stock,2026-04-07 17:09:29.372546
79,35,17,Low Stock,2026-04-10 05:39:31.859476
80,74,77,Low Stock,2026-04-05 01:26:54.408438
81,47,28,Expiry,2026-04-04 06:19:27.196232
82,100,97,Low Stock,2026-04-05 22:12:55.536816
83,48,78,Price Change,2026-04-06 16:50:32.796124
84,18,87,Expiry,2026-04-09 03:58:23.132319
85,15,34,Expiry,2026-04-10 15:39:16.513100
86,43,60,Low Stock,2026-04-05 21:39:06.118599
87,50,68,Expiry,2026-04-02 20:40:11.042577
88,39,42,Low Stock,2026-04-01 00:35:11.437037
89,27,35,Price Change,2026-04-05 01:56:30.733441
90,51,53,Expiry,2026-04-01 22:47:09.216386
91,65,24,Low Stock,2026-04-05 11:11:35.816792
92,85,14,Low Stock,2026-04-03 23:16:56.921178
93,83,44,Expiry,2026-04-08 08:00:59.628443
94,88,12,Price Change,2026-04-10 13:40:08.608770
95,7,1,Low Stock,2026-04-10 19:02:12.248235
96,95,21,Low Stock,2026-04-04 23:35:01.458785
97,36,20,Price Change,2026-04-03 19:45:17.174609
98,98,29,Price Change,2026-04-09 19:41:22.031967
99,19,46,Low Stock,2026-04-09 16:18:21.887189
100,32,25,Price Change,2026-04-07 19:56:46.154534
