id,user_id,action,entity,entity_id,timestamp
1,18,LOGIN,Drug,32,2026-04-06 04:30:04.898974
2,28,LOGIN,Pharmacy,35,2026-04-09 18:06:33.188407
3,63,DELETE,Drug,5,2026-04-06 22:00:33.872225
4,81,UPDATE,Pharmacy,41,2026-04-09 20:53:45.941000
5,21,LOGIN,Price,81,2026-04-01 06:17:07.462409
6,29,LOGIN,Pharmacy,23,2026-04-07 09:42:15.092099
7,81,INSERT,Price,100,2026-04-06 16:44:02.264743
8,88,UPDATE,Price,99,2026-04-05 10:12:16.068938
9,97,DELETE,Price,52,2026-04-09 01:08:42.206249
10,21,DELETE,User,3,2026-04-04 04:27:25.280118
11,36,INSERT,Price,63,2026-04-01 19:49:16.156431
12,57,LOGIN,Price,16,2026-04-11 08:29:48.513646
13,14,DELETE,User,3,2026-04-03 23:28:18.488894
14,50,UPDATE,User,29,2026-04-06 13:26:36.188519
15,40,DELETE,Price,66,2026-04-09 11:14:12.834108
16,28,UPDATE,Drug,49,2026-04-08 21:51:45.573782
17,87,LOGIN,Price,18,2026-04-02 07:19:55.415845
18,83,LOGIN,Price,50,2026-04-10 06:12:54.442786
19,66,LOGIN,Price,87,2026-04-10 20:11:57.145191
20,51,UPDATE,User,48,2026-04-02 18:56:32.239863
21,28,DELETE,Pharmacy,64,2026-04-02 19:13:21.295029
22,60,LOGIN,Pharmacy,55,2026-04-09 19:09:36.976124
23,21,INSERT,Drug,94,2026-04-04 12:16:31.169218
24,76,INSERT,Pharmacy,3,2026-04-02 15:41:01.339575
25,27,LOGIN,User,68,2026-04-11 08:07:19.606277
26,47,LOGIN,User,80,2026-04-07 06:30:48.073770
27,42,INSERT,Drug,19,2026-04-08 20:24:06.157699
28,26,DELETE,User,78,2026-04-09 09:11:44.605327
29,61,UPDATE,Drug,72,2026-04-04 21:06:34.599262
30,14,DELETE,User,88,2026-04-04 11:04:04.685950
31,7,DELETE,Pharmacy,45,2026-04-07 08:33:46.586305
32,83,DELETE,Drug,42,2026-04-07 23:49:21.936092
33,30,INSERT,Pharmacy,51,2026-04-07 16:45:00.213712
34,9,INSERT,Drug,87,2026-04-05 06:45:08.043885
35,79,INSERT,Price,99,2026-04-05 05:01:48.468193
36,54,UPDATE,Price,19,2026-04-05 12:17:20.197786
37,64,INSERT,Pharmacy,20,2026-04-01 17:38:32.238499
38,86,LOGIN,Drug,29,2026-04-11 02:43:26.660387
39,90,INSERT,Price,93,2026-04-04 18:53:26.886454
40,29,UPDATE,Price,63,2026-04-04 14:45:38.186533
41,6,UPDATE,Pharmacy,17,2026-04-01 02:38:44.097261
42,9,INSERT,Pharmacy,8,2026-04-07 02:22:25.896958
43,32,INSERT,User,37,2026-04-05 14:34:08.921364
44,28,LOGIN,Drug,51,2026-04-04 15:42:11.178225
