id,drug_id,demand_score,recorded_at
1,22,3.6,2026-04-10 08:29:51.195029
2,60,8.0,2026-04-08 05:30:43.079241
3,75,3.3,2026-04-10 10:45:41.083118
4,97,5.4,2026-04-01 18:10:31.252617
5,18,2.6,2026-04-08 03:20:21.774706
6,28,7.3,2026-04-07 18:35:37.772513
7,63,1.3,2026-04-01 15:37:06.555338
8,75,3.5,2026-04-09 04:31:56.700752
9,98,2.6,2026-04-06 16:41:04.182090
10,41,1.9,2026-04-08 00:57:03.832449
11,11,5.3,2026-04-05 00:19:00.857375
12,16,8.5,2026-04-06 14:53:08.620534
13,38,8.9,2026-04-06 06:32:10.362001
14,15,3.5,2026-04-11 11:45:46.504373
15,21,8.1,2026-04-11 04:13:33.568240
16,77,5.1,2026-04-07 17:34:16.370742
17,65,4.8,2026-04-03 11:03:25.625684
18,67,8.3,2026-04-05 01:46:19.352395
19,68,2.1,2026-04-02 15:33:45.239954
20,94,4.2,2026-04-05 00:13:44.569323
21,25,9.5,2026-04-03 17:54:57.905005
22,37,4.4,2026-04-07 14:00:50.914910
23,52,3.8,2026-04-10 03:40:08.295667
24,92,5.2,2026-04-11 09:09:28.145607
25,41,3.4,2026-04-06 02:32:42.453237
26,21,3.3,2026-04-07 14:58:28.481801
27,87,9.2,2026-04-01 01:02:44.752939
28,25,7.9,2026-04-02 06:31:37.734990
29,31,8.6,2026-04-02 15:36:52.238458
30,6,2.9,2026-04-04 15:50:15.050134
31,67,5.5,2026-04-04 09:59:07.812057
32,29,1.8,2026-04-06 06:24:41.005789
33,27,8.7,2026-04-04 07:11:05.097943
34,37,6.9,2026-04-03 09:19:38.981786
35,16,9.1,2026-04-08 23:02:08.231950
36,68,7.0,2026-04-04 18:20:39.793910
37,36,4.3,2026-04-05 15:06:37.784527
38,30,8.3,2026-04-01 00:12:13.065784
39,95,5.2,2026-04-11 15:59:28.761305
40,39,7.5,2026-04-08 16:33:16.628426
41,24,4.6,2026-04-11 07:16:16.632154
42,57,7.5,2026-04-03 07:11:27.842542
43,50,5.2,2026-04-05 04:13:01.521048
44,72,4.2,2026-04-03 18:41:30.553939
45,34,4.1,2026-04-09 01:38:38.370433
46,32,3.2,2026-04-05 22:35:52.784919
47,52,8.0,2026-04-04 19:14:58.776844
48,65,2.9,2026-04-04 14:23:54.539058
49,30,2.9,2026-04-07 17:48:28.911911
50,23,9.6,2026-04-08 11:42:07.207152
51,82,7.0,2026-04-10 01:01:49.121675
52,84,7.8,2026-04-05 09:48:22.848215
53,79,7.6,2026-04-09 00:43:06.161101
54,66,8.8,2026-04-05 07:41:19.614630
55,22,1.3,2026-04-05 18:12:18.886263
56,22,1.2,2026-04-04 08:11:44.358415
57,82,6.5,2026-04-02 23:18:32.190909
58,32,3.9,2026-04-10 13:14:00.361277
59,16,1.9,2026-04-02 17:06:59.741795
60,79,3.1,2026-04-10 23:39:07.005341
61,71,2.4,2026-04-06 19:22:31.414548
62,71,5.2,2026-04-04 12:35:35.303480
63,22,6.9,2026-04-05 09:42:43.230895
64,29,8.2,2026-04-04 22:29:19.688670
65,11,7.5,2026-04-01 04:04:44.185055
66,100,7.7,2026-04-01 13:45:05.479974
67,13,2.2,2026-04-09 17:03:31.217397
68,94,4.3,2026-04-05 06:31:16.027922
69,23,3.8,2026-04-03 08:39:58.550329
70,30,8.0,2026-04-04 21:57:33.131272
71,34,2.9,2026-04-11 12:37:21.921313
72,43,5.1,2026-04-08 20:05:22.286699
73,78,1.7,2026-04-09 13:32:55.074790
74,29,3.0,2026-04-01 09:36:35.444743
75,23,3.5,2026-04-08 01:37:35.019994
76,25,1.1,2026-04-07 23:24:13.401053
77,85,6.7,2026-04-10 15:02:09.866185
78,67,4.2,2026-04-11 03:22:15.197623
79,16,7.5,2026-04-07 09:18:37.229286
80,84,4.4,2026-04-09 03:05:17.661442
81,24,3.5,2026-04-11 02:41:18.753015
82,43,6.5,2026-04-02 14:42:21.978902
83,52,2.3,2026-04-03 13:52:33.685617
84,58,9.0,2026-04-05 19:45:11.311235
85,69,4.5,2026-04-01 20:01:02.442783
86,96,1.9,2026-04-04 08:56:41.436277
87,94,6.2,2026-04-07 17:15:49.678499
88,13,4.7,2026-04-05 13:41:40.764649
89,57,6.5,2026-04-02 12:10:12.023248
90,38,9.5,2026-04-09 20:40:58.991423
91,64,9.7,2026-04-03 05:44:57.438095
92,69,9.3,2026-04-04 19:30:35.797449
93,75,6.9,2026-04-02 20:34:51.924994
94,93,9.7,2026-04-08 21:55:04.222806
95,52,5.7,2026-04-03 04:58:39.155026
96,25,5.1,2026-04-01 15:27:05.774461
97,10,8.9,2026-04-02 11:40:40.422125
98,39,10.0,2026-04-10 09:48:02.986637
99,9,5.0,2026-04-11 05:58:44.103165
100,26,8.6,2026-04-02 04:55:54.022700
