id,drug_id,alternative_drug_id
1,22,32
2,100,14
3,14,83
4,13,91
5,40,53
6,37,31
7,67,86
8,84,79
9,92,63
10,62,43
11,32,79
12,32,48
13,11,63
14,20,33
15,60,24
16,53,10
17,37,71
18,18,34
19,98,72
20,38,80
21,75,20
22,96,26
23,40,73
24,26,50
25,45,66
26,38,51
27,34,11
28,85,25
29,53,97
30,16,44
31,18,69
32,28,13
33,30,3
34,40,38
35,75,92
36,33,4
37,77,44
38,24,87
39,20,1
40,5,16
41,14,81
42,42,90
43,75,27
44,26,72
45,4,79
46,99,33
47,58,37
48,33,60
49,37,67
50,66,52
51,29,50
52,22,28
53,61,9
54,77,27
55,19,83
56,41,61
57,53,3
58,91,18
59,83,72
60,45,25
61,10,37
62,37,88
63,56,21
64,1,76
65,70,47
66,66,21
67,35,93
68,96,10
69,51,81
70,42,29
71,22,60
72,72,32
73,38,35
74,97,38
75,89,44
76,31,72
77,71,7
78,20,80
79,74,25
80,61,85
81,60,35
82,45,63
83,45,98
84,65,74
85,62,83
86,45,23
87,76,29
88,69,41
89,26,81
90,14,55
91,89,72
92,32,38
93,55,5
94,35,75
95,40,67
96,40,4
97,74,90
98,60,7
99,75,47
100,58,89
