id,drug_id,avg_price,min_price,max_price,availability_percentage,calculated_at
1,5,397.12,18.93,919.77,47.0,2026-04-08 11:59:42.788877
2,16,98.84,13.87,709.62,11.44,2026-04-08 16:43:59.566890
3,37,168.93,47.49,716.46,41.41,2026-04-04 08:07:20.728349
4,65,83.55,17.84,580.51,21.61,2026-04-11 11:49:56.476640
5,100,218.76,46.34,646.34,41.78,2026-04-11 06:30:12.475953
6,20,299.41,28.53,779.95,32.21,2026-04-06 02:37:05.955963
7,46,247.47,23.14,786.38,32.03,2026-04-11 15:43:59.167541
8,58,274.01,37.88,519.69,68.86,2026-04-03 10:24:19.570377
9,27,208.11,35.73,767.77,33.59,2026-04-04 05:56:09.583553
10,26,282.97,28.65,542.5,1.48,2026-04-08 21:11:27.834355
11,91,296.03,31.71,529.9,78.32,2026-04-02 12:08:19.590418
12,19,345.8,42.5,497.3,17.23,2026-04-06 16:14:48.307169
13,98,292.45,42.34,753.42,31.79,2026-04-02 10:21:49.666526
14,86,394.1,11.92,430.31,92.4,2026-04-01 05:52:50.717388
15,12,339.86,46.97,540.54,99.35,2026-04-03 01:55:00.684461
16,77,297.2,36.91,834.49,38.42,2026-04-05 00:39:04.835544
17,33,280.79,41.25,520.13,48.68,2026-04-11 10:36:45.137998
18,51,370.66,12.54,869.88,40.89,2026-04-03 12:55:10.925263
19,67,136.91,39.65,680.31,54.17,2026-04-11 13:45:12.870097
20,53,286.31,33.46,821.31,67.67,2026-04-05 01:37:03.256308
21,49,313.95,44.94,728.26,90.59,2026-04-05 06:56:26.717021
22,79,257.37,42.17,587.12,25.92,2026-04-05 05:56:06.770788
23,37,271.81,33.91,897.4,58.92,2026-04-10 08:35:57.296345
24,64,189.24,12.89,841.08,44.55,2026-04-04 05:52:57.113268
25,54,121.14,36.72,821.01,17.65,2026-04-04 11:31:35.792448
26,95,68.3,17.96,512.95,30.87,2026-04-01 11:48:52.282136
27,62,320.65,14.59,541.76,95.03,2026-04-05 16:08:07.875266
28,15,97.14,10.13,608.16,77.79,2026-04-03 23:55:05.175477
29,57,102.31,12.21,922.43,98.87,2026-04-02 20:23:47.473879
30,86,193.51,20.4,638.02,76.21,2026-04-10 15:33:49.004965
31,30,170.08,32.66,622.2,79.3,2026-04-04 06:20:46.868697
32,71,191.07,22.8,608.08,46.22,2026-04-03 18:26:02.709741
33,3,231.07,10.35,811.04,6.11,2026-04-02 18:06:50.670264
34,79,89.81,34.49,425.95,44.39,2026-04-06 01:20:04.846567
35,43,157.98,17.97,469.17,61.27,2026-04-06 02:27:44.854504
36,19,217.36,14.14,466.52,40.56,2026-04-07 10:49:34.077210
37,30,256.12,43.36,592.35,50.07,2026-04-07 04:06:37.525185
38,90,342.31,15.2,619.06,63.07,2026-04-03 10:44:48.405306
39,99,51.65,41.79,702.02,96.9,2026-04-05 01:20:04.541475
40,56,154.91,38.13,766.95,3.88,2026-04-11 07:54:13.252965
41,95,193.47,36.7,938.09,24.85,2026-04-08 05:07:10.771095
42,95,113.36,44.12,492.53,74.83,2026-04-05 21:01:25.220356
43,16,352.75,37.91,804.79,85.5,2026-04-07 11:56:50.424903
44,22,262.43,39.97,711.1,88.59,2026-04-03 16:57:46.401965
