id,drug_id,tag
1,43,Pain
2,74,Diabetes
3,33,Diabetes
4,96,Baby
5,29,Pain
6,52,Heart
7,81,Diabetes
8,29,Baby
9,4,Allergy
10,26,Baby
11,96,Allergy
12,34,Pain
13,90,Diabetes
14,88,Baby
15,88,Pain
16,64,Allergy
17,87,Pain
18,17,Diabetes
19,22,Pain
20,51,Pain
21,70,Heart
22,81,Pain
23,5,Baby
24,26,Diabetes
25,20,Diabetes
26,57,Allergy
27,21,Allergy
28,83,Heart
29,25,Baby
30,26,Diabetes
31,79,Diabetes
32,79,Baby
33,55,Heart
34,44,Baby
35,29,Pain
36,2,Allergy
37,60,Heart
38,26,Baby
39,38,Heart
40,58,Diabetes
41,3,Allergy
42,84,Baby
43,75,Heart
44,97,Baby
45,53,Pain
46,25,Pain
47,10,Diabetes
48,89,Baby
49,83,Allergy
50,15,Baby
51,5,Heart
52,91,Heart
53,99,Allergy
54,31,Diabetes
55,11,Allergy
56,9,Allergy
57,54,Heart
58,46,Diabetes
59,70,Heart
60,24,Pain
61,96,Baby
62,56,Baby
63,43,Diabetes
64,7,Allergy
65,41,Pain
66,81,Diabetes
67,54,Pain
68,65,Heart
69,70,Heart
70,89,Baby
71,94,Pain
72,23,Allergy
73,22,Diabetes
74,85,Baby
75,65,Pain
76,22,Heart
77,4,Heart
78,97,Heart
79,21,Pain
80,73,Baby
81,35,Heart
82,54,Allergy
83,27,Pain
84,57,Heart
85,39,Heart
86,27,Pain
87,1,Allergy
88,46,Pain
89,23,Pain
90,77,Heart
91,42,Allergy
92,15,Baby
93,62,Baby
94,53,Heart
95,93,Heart
96,100,Diabetes
97,89,Diabetes
98,37,Allergy
99,66,Allergy
100,37,Diabetes
