id,user_id,drug_id,created_at
1,51,52,2026-01-18 00:22:58.137292
2,93,100,2026-02-13 17:24:31.241973
3,26,7,2026-02-19 14:08:55.059680
4,17,25,2026-01-24 16:13:43.408960
5,29,99,2026-02-19 02:47:08.625820
6,90,61,2026-02-11 11:12:26.212321
7,52,74,2026-01-06 14:48:30.041492
8,83,87,2026-01-23 03:37:20.859078
9,17,97,2026-01-13 08:36:31.782312
10,65,14,2026-03-07 20:15:22.136788
11,27,32,2026-01-19 04:22:37.955330
12,78,34,2026-03-03 15:00:41.488384
13,11,12,2026-04-06 14:15:10.593834
14,18,49,2026-04-04 02:57:25.379796
15,74,56,2026-01-01 08:22:28.237375
16,51,87,2026-03-30 14:53:58.431279
17,60,19,2026-01-22 12:23:53.907437
18,87,37,2026-04-08 06:58:35.080543
19,41,88,2026-03-29 16:41:18.564144
20,67,20,2026-02-10 20:36:47.955669
21,98,35,2026-01-02 13:40:34.868680
22,98,98,2026-04-08 15:16:02.894297
23,79,97,2026-03-10 07:18:20.274517
24,3,95,2026-01-20 17:01:31.554962
25,3,42,2026-04-09 20:31:11.620295
26,23,56,2026-01-09 13:38:24.967278
27,78,92,2026-01-18 11:52:00.296426
28,44,22,2026-01-18 07:42:05.978719
29,14,75,2026-01-29 08:45:24.278275
30,22,43,2026-02-21 02:36:57.199241
31,4,69,2026-03-24 08:35:36.778177
32,17,88,2026-01-10 12:57:47.358324
33,52,60,2026-02-07 11:16:24.861045
34,80,95,2026-03-23 04:13:00.329457
35,67,24,2026-03-03 17:45:17.198337
36,96,2,2026-03-25 00:19:09.437164
37,29,64,2026-03-26 15:29:34.439316
38,36,16,2026-02-12 01:49:00.565935
39,54,18,2026-03-15 14:13:04.676554
40,72,35,2026-01-29 07:24:40.676066
41,34,32,2026-02-01 14:11:30.761502
42,88,66,2026-01-17 01:51:02.271021
43,52,100,2026-01-30 06:13:09.005458
44,53,28,2026-03-10 11:25:44.733132
45,59,34,2026-01-02 12:52:23.854486
46,57,41,2026-03-28 04:10:00.050886
47,25,13,2026-03-15 23:38:20.536551
48,9,63,2026-01-14 07:45:29.181795
49,71,16,2026-02-12 21:51:48.242126
50,2,40,2026-02-20 11:43:13.212763
51,67,56,2026-02-25 16:43:35.139436
52,62,39,2026-03-14 17:40:51.882188
53,22,81,2026-02-07 00:41:53.823757
54,27,10,2026-03-15 22:06:36.790696
55,73,14,2026-02-03 12:31:11.486652
56,97,39,2026-02-05 01:59:06.786696
57,15,95,2026-01-05 11:31:23.015295
58,11,4,2026-03-16 10:58:19.824785
59,17,86,2026-04-01 06:21:32.325469
60,39,53,2026-01-01 03:21:04.044517
61,91,24,2026-03-08 14:25:41.107015
62,19,10,2026-02-09 04:52:10.288476
63,81,97,2026-03-11 04:49:35.963731
64,96,47,2026-03-15 00:25:45.976924
65,42,11,2026-03-11 11:40:56.781604
66,80,23,2026-02-27 08:29:17.248991
67,79,29,2026-02-17 20:36:56.104880
68,99,97,2026-01-16 23:51:35.035683
69,62,46,2026-01-23 13:04:05.512371
70,22,63,2026-01-24 23:47:54.405014
71,32,15,2026-02-11 08:32:01.952974
72,18,63,2026-01-31 19:56:44.341211
73,78,3,2026-04-08 07:40:01.351737
74,17,52,2026-01-26 16:20:57.003668
75,12,66,2026-04-02 23:39:24.694937
76,38,18,2026-02-21 03:19:26.860185
77,53,23,2026-02-02 00:17:14.237812
78,72,83,2026-03-03 15:18:32.504346
79,60,54,2026-02-11 11:51:05.719689
80,64,85,2026-02-25 14:28:44.125038
81,40,69,2026-02-24 10:23:21.847547
82,42,58,2026-01-14 06:18:51.210531
83,40,95,2026-02-16 15:33:20.084189
84,28,96,2026-01-31 23:03:13.442560
85,75,7,2026-03-27 04:21:24.243416
86,28,46,2026-01-12 13:02:38.444582
87,18,54,2026-03-16 06:37:37.884067
88,65,87,2026-03-28 02:11:26.920611
89,69,72,2026-02-07 19:56:24.006219
90,56,9,2026-01-01 04:08:58.788557
91,43,24,2026-01-28 10:34:16.524567
92,76,96,2026-04-06 19:22:01.395087
93,8,7,2026-03-01 17:44:33.749225
94,72,77,2026-01-22 08:08:27.358295
95,17,1,2026-03-09 02:14:18.855143
96,77,100,2026-02-05 21:03:04.505272
97,75,4,2026-01-20 03:45:27.108683
98,49,6,2026-01-05 19:12:51.101692
99,24,77,2026-02-01 00:27:13.398045
100,100,69,2026-01-03 17:01:45.644329
