service_id,name,type,description
1,Blood Test,Diagnostic,Involve moment throw east sure.
2,Home Nursing,Home Care,Image contain interest growth.
3,X-Ray,Imaging,Table safe course although.
4,Dental Checkup,Clinical,Have walk husband agreement ready and politics.
5,Physiotherapy,Therapy,Discuss letter discussion quality.
6,Consultation,General,Talk realize sea movie.
7,Emergency,Urgent,History later manage.
8,Vaccination,Preventive,Degree ask newspaper accept place environmental doctor.
9,Delivery,Logistics,Popular likely television past along especially.
10,Lab Analysis,Lab,Per away character employee go society sell very.
