id,user_id,drug_id,message,type,is_read,created_at
1,91,22,Hard large different study sure want baby.,StockUpdate,True,2026-04-04 19:30:04.640352
2,95,47,Adult account many.,StockUpdate,False,2026-04-01 13:58:50.218092
3,27,57,Main natural similar health box well suggest treat.,StockUpdate,True,2026-04-05 14:24:02.769527
4,4,55,Kitchen three ground very certain cut.,Reminder,True,2026-04-04 04:49:23.814144
5,71,8,Against politics his they relate outside.,PriceDrop,False,2026-04-11 12:09:35.012448
6,63,31,Say reduce computer lay book.,StockUpdate,True,2026-04-02 10:47:13.575309
7,30,35,Base note space.,PriceDrop,False,2026-04-05 19:50:57.494705
8,94,71,Over main employee human.,Reminder,False,2026-04-04 03:17:48.090859
9,31,86,Successful discuss white even religious mind.,Reminder,True,2026-04-03 20:48:00.453320
10,17,35,Station step his paper on.,StockUpdate,False,2026-04-11 10:39:57.155124
11,54,79,Yeah under but quickly suffer.,Reminder,False,2026-04-04 23:15:49.116787
12,80,53,Month themselves run animal.,StockUpdate,True,2026-04-11 07:39:41.420289
13,25,81,Young church sure wear.,StockUpdate,True,2026-04-05 01:54:41.466486
14,83,57,Group station kind food I such.,StockUpdate,False,2026-04-01 13:42:41.599747
15,49,92,Common activity black should candidate.,PriceDrop,False,2026-04-02 23:07:20.873941
16,46,21,Sell care goal high so person pass whatever.,Reminder,False,2026-04-02 23:37:46.240950
17,3,4,Spring all discuss.,Reminder,False,2026-04-05 05:45:23.860589
18,60,1,Forget bed about impact wait see thought.,Reminder,True,2026-04-04 13:52:49.823101
19,54,66,Among character public wrong.,StockUpdate,False,2026-04-04 07:15:27.438628
20,26,70,Provide structure whom war represent resource case.,PriceDrop,False,2026-04-01 17:23:34.471736
21,25,79,Probably stock speech impact.,Reminder,True,2026-04-07 07:18:39.237459
22,27,69,Always father send every.,Reminder,False,2026-04-02 17:02:38.280152
23,93,10,Rich difficult bag prepare big set step.,Reminder,True,2026-04-09 13:26:00.641968
24,16,14,Admit cut animal how.,PriceDrop,False,2026-04-10 22:16:19.319938
25,52,89,Example arrive certainly baby.,Reminder,False,2026-04-09 05:51:19.011142
26,19,95,Beat off fact production news.,Reminder,False,2026-04-03 18:11:28.686721
27,52,88,All provide father every her somebody movement tonight.,StockUpdate,False,2026-04-04 14:55:28.745606
28,26,52,Form none enough like forward manage.,StockUpdate,True,2026-04-10 06:36:11.957051
29,40,82,Real group fact choose star address forward.,PriceDrop,True,2026-04-04 05:36:52.502512
30,60,25,Send every son itself.,StockUpdate,False,2026-04-11 06:15:00.766499
31,44,81,Glass study pass material land model fall.,Reminder,False,2026-04-03 13:14:11.218934
32,12,62,That late scene you girl law teach.,Reminder,True,2026-04-09 17:31:15.566828
33,91,50,Experience charge common skill the memory building.,StockUpdate,False,2026-04-08 10:39:02.448453
34,62,37,Lawyer fill you attack only up remember.,Reminder,False,2026-04-01 19:31:39.117839
35,19,47,Able risk movement others consumer project determine.,StockUpdate,True,2026-04-02 17:54:27.713634
36,51,48,Lay score concern newspaper page.,Reminder,False,2026-04-11 05:52:15.561793
37,57,79,Plan main movement performance suddenly really price.,PriceDrop,True,2026-04-01 18:56:17.608115
38,52,12,Through when current radio development determine top.,PriceDrop,False,2026-04-02 13:51:29.237603
39,97,35,Notice Congress create.,PriceDrop,True,2026-04-08 07:40:07.957408
40,54,37,Star wait control here room interview.,PriceDrop,False,2026-04-08 14:35:43.819953
41,40,81,Total bit old letter investment guy.,PriceDrop,False,2026-04-05 22:15:38.912151
42,69,26,Fight campaign painting notice especially would owner mission.,Reminder,False,2026-04-03 20:04:50.104540
43,2,60,Radio consider individual amount view exist protect.,StockUpdate,False,2026-04-01 21:41:32.152182
44,9,69,Suggest action final style past detail.,PriceDrop,False,2026-04-06 21:55:43.519215
45,8,7,Event sign interview record rock former specific.,StockUpdate,False,2026-04-07 21:08:33.966375
46,24,29,Suggest possible field future mouth simply.,PriceDrop,False,2026-04-04 21:25:11.953717
47,76,57,Table article finally back understand article social.,StockUpdate,False,2026-04-05 23:11:48.059451
48,44,13,Both easy million down any address improve.,Reminder,True,2026-04-10 20:40:04.500851
49,1,31,Through society music he Congress significant without news.,StockUpdate,False,2026-04-02 08:19:03.106438
50,60,88,Information economic than face letter data high.,StockUpdate,True,2026-04-02 14:50:37.989122
51,63,67,Wall scene responsibility up side worker.,PriceDrop,True,2026-04-05 20:56:42.344347
52,99,74,Everyone discover finish.,Reminder,False,2026-04-05 11:41:54.114127
53,70,96,True hospital over sort.,Reminder,True,2026-04-10 16:38:34.849069
54,1,47,Where production fall think.,PriceDrop,False,2026-04-05 19:29:41.799915
55,11,91,Anyone loss so address.,StockUpdate,True,2026-04-11 11:29:17.990462
56,69,83,Politics manage work southern group view.,StockUpdate,True,2026-04-01 20:45:42.802148
57,78,44,What those open order.,PriceDrop,False,2026-04-11 15:38:00.238974
58,82,28,Difference suddenly serious everyone whom.,StockUpdate,False,2026-04-10 22:44:14.944291
59,27,78,Particularly hot language those.,StockUpdate,False,2026-04-08 14:06:20.804309
60,47,50,According ask walk game citizen minute day.,PriceDrop,True,2026-04-05 14:38:26.376473
61,3,30,Education meet issue month.,Reminder,False,2026-04-01 07:45:46.299230
62,14,45,Month soldier talk citizen your safe.,Reminder,False,2026-04-07 15:25:50.672901
63,84,58,Adult partner appear away number science once candidate.,Reminder,True,2026-04-06 01:22:11.965489
64,28,30,Control have fear give second discuss leave present.,StockUpdate,True,2026-04-08 04:08:12.643689
65,16,79,Represent picture music structure magazine staff.,Reminder,True,2026-04-01 06:05:42.629452
66,30,30,Catch world answer necessary only practice.,StockUpdate,False,2026-04-10 12:40:24.528484
67,53,77,Against occur threat news turn policy administration.,Reminder,False,2026-04-08 21:21:42.256751
68,10,72,National Democrat activity know.,PriceDrop,True,2026-04-04 22:20:12.653996
69,8,14,Plant hour although apply now level Mr every.,StockUpdate,True,2026-04-06 17:39:53.205171
70,15,26,Less economic experience arrive.,Reminder,True,2026-04-07 04:20:18.204613
71,29,54,Rule center sort range better.,PriceDrop,False,2026-04-05 22:43:42.254105
72,48,55,Floor market just necessary time trip.,PriceDrop,False,2026-04-04 10:15:29.681600
73,18,84,Both play offer spend economic wide.,Reminder,True,2026-04-03 01:15:15.843564
74,2,60,Soon fill kind child them.,StockUpdate,True,2026-04-07 21:32:56.387106
75,25,54,Type discover month majority century any evening.,StockUpdate,False,2026-04-09 23:12:06.865913
76,7,9,How their TV market visit.,StockUpdate,False,2026-04-06 08:54:22.678485
77,6,72,Choice culture boy phone assume cut.,Reminder,True,2026-04-03 09:52:09.764247
78,48,52,Age yard positive carry son.,PriceDrop,False,2026-04-10 08:40:06.740484
79,16,24,Argue current condition strategy.,StockUpdate,True,2026-04-09 06:48:41.944864
80,76,59,Eye along policy effort door city gun school.,StockUpdate,False,2026-04-02 12:51:46.892607
81,94,8,Join fall likely forward.,Reminder,False,2026-04-09 13:00:20.680103
82,89,27,East protect ready avoid everything.,Reminder,True,2026-04-07 14:34:14.241899
83,82,13,Mention actually personal born throw.,StockUpdate,True,2026-04-09 06:01:44.249173
84,52,16,Politics international fly onto writer she indicate.,Reminder,False,2026-04-10 14:34:57.533226
85,68,10,Car pretty role end almost traditional.,StockUpdate,True,2026-04-09 06:10:43.186581
86,14,68,Let newspaper tax ago those owner offer he.,PriceDrop,False,2026-04-06 23:42:02.604289
87,93,61,Fight myself picture manage design reduce gas.,PriceDrop,True,2026-04-09 08:37:30.574880
88,33,25,Bag interest garden region blue.,StockUpdate,True,2026-04-07 07:22:49.486435
89,88,68,Summer since without company surface.,PriceDrop,True,2026-04-07 17:51:16.349837
90,6,82,Feel sing ten deal major financial.,Reminder,True,2026-04-09 21:26:51.456278
91,21,78,Second employee live that become item.,StockUpdate,True,2026-04-10 14:56:40.698409
92,22,72,Spend nothing southern.,PriceDrop,True,2026-04-02 03:05:38.451332
93,76,7,Game she art front at.,StockUpdate,False,2026-04-01 08:04:21.278695
94,86,5,Blue despite coach in either black conference issue.,StockUpdate,True,2026-04-01 03:55:32.345655
95,9,42,Night than support catch view successful safe.,PriceDrop,True,2026-04-05 21:01:42.319321
96,80,30,Actually beyond Republican interesting week clearly.,StockUpdate,True,2026-04-06 05:49:43.376832
97,70,4,System woman child add discover sell drug face.,Reminder,False,2026-04-01 03:28:29.251740
98,45,98,Though deep toward ten firm control.,PriceDrop,True,2026-04-11 04:46:36.767902
99,95,40,Keep stop article show.,Reminder,True,2026-04-03 04:02:35.160600
100,6,79,Live should right window relate area.,PriceDrop,True,2026-04-06 02:55:26.343284
