pharmacy_id,name,location,latitude,longitude,contact_number,rating
1,"Freeman, Skinner and Leon Pharmacy",Lauraton,57.12723,-158.788711,001-628-988-3987x0230,2.6
2,"Vaughan, Miller and Edwards Pharmacy",Lake Davidton,-52.099969,-45.172379,296.657.4854x824,2.6
3,Sanchez and Sons Pharmacy,New Joelshire,67.0668225,155.761146,284.953.4895,3.7
4,"Doyle, Morgan and Dixon Pharmacy",Edwardville,-28.5646875,-86.139507,557.254.5596,4.4
5,"Small, Tran and Ray Pharmacy",East Laurenfurt,61.9190715,67.287067,(204)270-0622,3.8
6,Cruz Group Pharmacy,Andrewsfort,16.9823525,-73.481603,3655098843,3.9
7,"Vega, Horn and Harris Pharmacy",Scottview,61.7342495,-176.13786,(926)986-4669x6242,3.6
8,Bryant Ltd Pharmacy,East Erinfurt,32.584386,56.864853,(407)317-6756x383,2.2
9,"Waller, Coleman and Lang Pharmacy",Juanberg,83.6139,-97.054806,001-552-804-0390x505,1.6
10,Adkins Ltd Pharmacy,Lake Donnatown,78.1350975,-55.083342,001-831-781-1260,1.7
11,Conner-Santana Pharmacy,Port William,-54.871844,-159.814738,(783)257-5954,4.4
12,Conley PLC Pharmacy,Osborneport,-3.3546545,116.170091,(923)613-1078x136,4.3
13,Sanchez-Stone Pharmacy,Jesseton,87.014621,35.108357,001-219-548-0152,2.1
14,"Martin, Price and Griffin Pharmacy",East Robin,-24.147116,135.397175,001-582-359-7529x1977,2.7
15,"Anderson, Davis and Flores Pharmacy",Walshmouth,-6.764189,-20.528309,(491)544-7503x046,3.1
16,Quinn-Cruz Pharmacy,Perezbury,-28.369078,-55.060079,+1-981-298-5345,1.9
17,Mcdonald-Malone Pharmacy,New Billyland,-80.381536,126.893364,+1-345-219-8264x5403,3.9
18,Cox-Camacho Pharmacy,Robertmouth,-17.2156525,78.574239,275.230.8304x7000,2.7
19,"Hooper, Rodriguez and Cook Pharmacy",Martinfort,45.1468995,123.050383,221-648-4622x33289,3.7
20,Keith-Mendoza Pharmacy,Tatemouth,66.539406,112.925165,503.549.2789x9827,1.7
21,"Smith, Wiggins and Owens Pharmacy",Morganburgh,-76.3836295,155.203475,995-856-3194,2.9
22,Fuentes-Russell Pharmacy,Lake Jamesside,-80.892295,-119.269032,(293)276-0446x6490,3.3
23,Howell LLC Pharmacy,East Carl,44.058239,-137.640469,322.586.4255x7939,4.6
24,Lynch-Coleman Pharmacy,South Courtney,-87.0638175,170.659384,7775557404,3.6
25,Bridges-Holloway Pharmacy,South Emily,-36.837254,-46.023789,(683)892-2523x3277,2.1
26,"Smith, Smith and Estrada Pharmacy",Alisonberg,-89.9787085,-115.103745,944-644-7627x213,2.4
27,Cameron LLC Pharmacy,East Jesus,79.2773745,11.015205,(236)221-9695x654,1.9
28,"Wolfe, Thomas and Gray Pharmacy",Lake Jenniferhaven,-53.334277,133.150712,(815)230-8997,3.2
29,Owens and Sons Pharmacy,West Brentmouth,-52.1918405,-10.69728,822.960.4011x7911,4.9
30,Avery-Collins Pharmacy,New Davidfort,-14.6707975,-164.366156,903.684.4186x0928,1.9
31,Day and Sons Pharmacy,East Brianna,73.522547,50.800598,903-707-7105x71577,2.1
32,Johnson-Rivas Pharmacy,South Scott,-57.989131,70.572051,(745)352-9991,4.0
33,Tran-King Pharmacy,Jenniferport,62.0358995,-79.601835,310-760-9218,3.6
34,Barajas PLC Pharmacy,Barnettberg,-36.6055695,-132.018221,600-932-7357x65714,4.7
35,Rodgers-Mendez Pharmacy,Wuburgh,-61.6907695,147.19164,(436)857-5341x3596,3.6
36,Miller-Buckley Pharmacy,North Julie,-24.469098,-3.453111,001-658-690-6453x696,2.5
37,Ramirez-Colon Pharmacy,Jamesshire,1.3731555,89.569918,(275)354-5312,1.8
38,"Hanson, Higgins and Smith Pharmacy",Jenniferberg,-58.437145,-162.134163,+1-486-435-5678,3.5
39,Sanders-Frank Pharmacy,West Karina,55.137678,-82.505846,324.438.6391x968,4.6
40,Booker PLC Pharmacy,New Kimberly,-76.1590725,142.838419,639.494.8252x1878,3.1
41,"Hudson, Lee and Martin Pharmacy",Jonathonton,-51.9260285,-121.338774,441.925.8158x7028,4.7
42,Keller Group Pharmacy,South Calebland,59.6639155,-66.510704,888-409-3606x8186,1.2
43,Zavala and Sons Pharmacy,West Kaylaborough,-82.811044,-125.339607,824.258.8218x55813,2.2
44,Gonzales-Gates Pharmacy,Ryanview,-54.3183705,-114.404024,975-254-5217x3160,1.0
45,Brown-Hill Pharmacy,Harrisburgh,68.383246,-15.417224,+1-866-613-1258x627,2.8
46,Gillespie-Ward Pharmacy,Frankport,-63.5006335,86.747366,(956)670-2758x215,1.8
47,Richardson-Jacobson Pharmacy,Erikahaven,38.569249,-136.044752,849.354.1825x810,4.8
48,Brown Ltd Pharmacy,Lake Claudia,57.788955,84.028538,915.322.9629x86644,1.4
49,Love-Weiss Pharmacy,North Melissaburgh,85.429467,-24.771344,+1-229-687-9704,1.8
50,"Manning, Welch and Smith Pharmacy",Fischerberg,46.0980855,-135.584911,973.955.8873,4.1
51,Collins Ltd Pharmacy,New Meganton,3.943165,41.280519,571-566-7396x56816,1.0
52,"Haley, Robertson and Cannon Pharmacy",North Connor,85.6334835,-98.483748,+1-389-527-0686x693,2.5
53,"Turner, Robinson and Duncan Pharmacy",New Michael,-35.1889445,-95.474057,+1-714-338-9691x17589,1.0
54,Collins-Weiss Pharmacy,Mcdonaldton,37.230423,155.633767,4389107521,2.6
55,"Espinoza, Brown and Clark Pharmacy",Sandersport,46.8024775,48.836188,+1-643-365-4256x5302,2.7
56,Patterson-Weaver Pharmacy,North Timothy,-73.582929,20.24696,+1-948-698-0626x22602,3.7
57,"Reilly, Wiggins and Pace Pharmacy",Blakestad,-84.247941,-91.368911,715.561.0423x0568,2.2
58,Young-Jefferson Pharmacy,Nolanview,74.1560395,-135.93546,2644004491,1.7
59,"Brooks, Hardy and Mitchell Pharmacy",Gibsonberg,70.6090245,128.565669,802-504-3963x9442,4.9
60,"Taylor, Burnett and Holmes Pharmacy",Lake Roberto,-30.365272,14.429752,+1-774-345-7901x7278,3.4
61,"Price, Bell and Banks Pharmacy",West Robertfort,62.028792,122.563583,440.259.0542x38428,4.8
62,Jennings-Wilson Pharmacy,Andreachester,35.005123,3.252318,860-507-2275,4.8
63,Rollins PLC Pharmacy,Romanshire,63.398311,-58.859434,418.401.6219,2.4
64,"Obrien, Johnson and Shepherd Pharmacy",Smithburgh,-2.4849035,-10.39406,685-799-5628x5975,1.3
65,"Carter, Villarreal and Anderson Pharmacy",North Brian,-27.5678785,14.139302,(399)555-1993x7039,3.4
66,Price-Blair Pharmacy,Jamesstad,52.5913315,167.388608,689-948-5362,4.8
67,"Fields, Morales and Flynn Pharmacy",Lake Stephanie,63.864003,-27.215285,313-366-0095,4.0
68,Anderson-Gutierrez Pharmacy,Castillotown,-63.585082,34.716979,+1-905-573-0780x1118,4.1
69,Armstrong-Gutierrez Pharmacy,Joycefort,46.334766,117.044436,(236)678-1140x41085,4.3
70,Meza-Moreno Pharmacy,Sanchezville,9.4065495,153.234505,(470)982-2092x39019,2.0
71,Glover PLC Pharmacy,Danahaven,-65.6425605,111.639219,(410)953-8253x627,2.3
72,"Peters, Jenkins and Waters Pharmacy",West Gabrielton,-14.3005125,124.424918,911.908.2104,2.9
73,Collins-Alexander Pharmacy,Lake Nathan,60.181563,60.455526,+1-706-722-6423x532,1.3
74,Barron-Hoffman Pharmacy,Lloydbury,-64.2066495,89.674609,3665879337,3.2
75,Miller-Mcdonald Pharmacy,East Kimberly,-80.9007245,-42.599367,486.446.9516,1.3
76,Thomas-Lee Pharmacy,East Bradleyton,32.932991,135.877903,331-577-7179x8482,2.5
77,Fisher-Brewer Pharmacy,North Whitney,-63.9755855,179.762781,395-825-3178,2.3
78,Anderson LLC Pharmacy,Simonfurt,10.69158,170.874378,351-589-8390,1.6
79,"Garrett, Fox and Clark Pharmacy",North Meganborough,-76.9427385,19.598391,4154568611,5.0
80,Ramos Ltd Pharmacy,New Jenniferborough,-79.8193415,-132.035867,001-960-935-8832x108,2.6
81,Williams PLC Pharmacy,Yatestown,57.274814,-70.864152,335.567.1377,1.9
82,West LLC Pharmacy,West Maria,23.4752895,-23.721287,899.490.0173x123,3.4
83,Hall-Carr Pharmacy,South Alexisstad,-50.4671665,-7.504574,(858)617-9645x24798,1.3
84,Griffin-Logan Pharmacy,West Haleytown,79.620551,-135.456746,001-469-669-9378x00235,1.4
85,Berry-Hansen Pharmacy,West Laurenborough,-3.6271195,-7.243245,671.877.5480x3152,2.6
86,Owens Ltd Pharmacy,North Michaelchester,0.158735,143.727392,(448)491-5310x4724,3.2
87,"Jones, Brown and Yates Pharmacy",Port Bruce,23.7569385,73.90501,001-784-868-3650,4.7
88,Brown-Hunt Pharmacy,North Lauraburgh,38.300202,-158.783394,5277876149,2.2
89,Mccoy-Mcgrath Pharmacy,Michaelshire,-38.362111,-101.542997,252-368-6469,1.0
90,West-Perez Pharmacy,New Joton,25.806545,-42.693908,+1-819-642-9899x00967,3.3
91,"Torres, Andrews and Marshall Pharmacy",Kristinview,76.636261,-93.336708,544.832.7954x72544,2.1
92,Anthony-Cochran Pharmacy,Heidishire,-34.242338,162.577138,(763)412-5515x5220,1.5
93,Simon Ltd Pharmacy,South Christopher,-6.8083355,-76.617415,499.354.8472x79561,4.8
94,Morris-Bates Pharmacy,Brandonport,-25.471622,-33.155742,900-908-4909,3.9
95,Briggs PLC Pharmacy,Hobbsbury,-8.6340605,-130.08194,9862963599,1.0
96,Kim-Campbell Pharmacy,New Victoriaview,15.031256,111.942483,+1-973-909-0129x7859,2.1
97,Cruz-Mclaughlin Pharmacy,Maryfurt,-47.989162,154.513367,001-988-790-6396x638,2.8
98,Davis Group Pharmacy,Port Lisamouth,83.104167,82.6531,2315654353,3.6
99,"Young, Sloan and Pruitt Pharmacy",Port Timothybury,84.6168705,-24.742756,(706)311-2299,1.9
100,"Lambert, Rogers and Palmer Pharmacy",Lake Samuel,80.546963,-176.49213,6285089342,1.6
