id,pharmacy_id,drug_id,quantity,last_updated
1,51,91,928,2026-04-05 21:55:02.086411
2,69,74,205,2026-04-07 15:04:21.669835
3,23,15,204,2026-04-07 17:06:52.302107
4,64,42,603,2026-04-07 13:47:41.723468
5,13,41,574,2026-04-02 04:20:09.671899
6,57,52,110,2026-04-05 13:32:38.711856
7,83,79,422,2026-04-06 00:17:49.259103
8,90,6,432,2026-04-08 04:53:53.931472
9,84,69,393,2026-04-08 09:23:44.172195
10,87,20,922,2026-04-04 05:31:21.087777
11,84,61,327,2026-04-07 00:32:50.432726
12,23,53,599,2026-04-05 17:59:56.524625
13,89,42,717,2026-04-04 18:39:16.315717
14,87,76,247,2026-04-09 11:01:37.470634
15,46,79,507,2026-04-03 21:46:23.756426
16,42,95,586,2026-04-10 07:04:41.011204
17,94,49,827,2026-04-08 17:18:46.918844
18,62,97,44,2026-04-11 14:59:44.509054
19,54,34,731,2026-04-06 05:40:31.592478
20,98,89,931,2026-04-05 07:46:32.151973
21,94,49,358,2026-04-05 08:13:35.392294
22,6,18,441,2026-04-08 00:18:14.195106
23,14,58,739,2026-04-07 09:08:16.746320
24,53,54,445,2026-04-02 21:27:57.978866
25,91,45,978,2026-04-08 05:37:43.689783
26,29,61,792,2026-04-05 21:32:09.823159
27,33,26,194,2026-04-02 10:53:40.179226
28,95,47,815,2026-04-01 12:37:51.848219
29,100,98,119,2026-04-04 05:01:30.606067
30,50,24,953,2026-04-08 16:37:14.629825
31,100,84,284,2026-04-05 18:03:10.410801
32,18,39,259,2026-04-09 01:18:40.819111
33,60,75,490,2026-04-05 18:09:08.482897
34,55,53,851,2026-04-07 15:39:55.749046
35,58,21,398,2026-04-05 07:13:37.987882
36,2,73,196,2026-04-07 13:59:25.056386
37,4,13,233,2026-04-09 11:26:54.378847
38,5,15,197,2026-04-11 11:02:39.015020
39,45,89,453,2026-04-03 21:41:03.994519
40,38,67,986,2026-04-11 03:19:29.110830
41,93,71,19,2026-04-03 20:56:36.818344
42,49,29,511,2026-04-07 12:27:57.039419
43,7,72,906,2026-04-03 18:42:24.891782
44,10,31,822,2026-04-09 15:13:58.716257
45,37,34,84,2026-04-03 18:45:53.728379
46,18,69,403,2026-04-08 05:22:51.736915
47,31,69,422,2026-04-02 21:30:49.569231
48,48,25,55,2026-04-03 03:02:35.481095
49,81,45,249,2026-04-09 14:18:37.528769
50,18,21,578,2026-04-09 03:56:26.645175
51,44,55,826,2026-04-03 02:38:20.236939
52,91,5,327,2026-04-06 18:52:37.752278
53,14,57,820,2026-04-10 04:43:50.747630
54,49,70,363,2026-04-07 16:20:33.755000
55,89,20,987,2026-04-03 08:09:11.919901
56,47,21,676,2026-04-11 09:03:29.958264
57,48,23,448,2026-04-01 13:51:32.444106
58,2,61,257,2026-04-03 07:58:34.572385
59,17,100,427,2026-04-09 17:57:52.092760
60,69,72,274,2026-04-03 09:51:42.230456
61,45,87,683,2026-04-04 03:55:26.765707
62,48,40,252,2026-04-03 05:39:08.020617
63,28,6,742,2026-04-03 22:01:52.757727
64,71,35,775,2026-04-03 22:38:34.418554
65,82,52,688,2026-04-05 11:14:24.156461
66,99,100,921,2026-04-10 08:46:30.481351
67,88,25,246,2026-04-03 18:28:49.893069
68,34,75,507,2026-04-04 07:08:47.431966
69,51,78,729,2026-04-01 02:27:56.345545
70,56,68,49,2026-04-05 16:14:06.313950
71,35,51,749,2026-04-07 06:22:15.765894
72,93,95,261,2026-04-05 22:43:26.320205
73,2,13,344,2026-04-07 20:29:22.610095
74,13,92,170,2026-04-07 12:04:52.935133
75,86,81,911,2026-04-05 05:20:23.319648
76,47,79,389,2026-04-02 23:51:59.077374
77,33,68,818,2026-04-09 21:43:11.162857
78,92,48,772,2026-04-04 15:42:36.131306
79,32,54,991,2026-04-05 21:44:14.318994
80,81,76,586,2026-04-07 11:00:13.844377
81,67,94,220,2026-04-03 14:19:14.469000
82,33,76,543,2026-04-04 08:45:03.478817
83,87,55,944,2026-04-06 08:14:34.956425
84,25,72,908,2026-04-03 08:34:25.002582
85,47,49,156,2026-04-04 08:55:53.288338
86,69,6,373,2026-04-07 10:05:04.244351
87,38,87,784,2026-04-09 19:15:34.672351
88,30,40,461,2026-04-01 08:27:46.176507
89,84,67,461,2026-04-03 09:31:08.212667
90,36,58,339,2026-04-05 13:38:35.891632
91,93,41,127,2026-04-03 15:29:35.487453
92,88,37,172,2026-04-02 08:50:05.708562
93,74,61,236,2026-04-03 06:57:13.252113
94,79,82,375,2026-04-06 19:34:10.263358
95,36,20,568,2026-04-09 04:26:28.249625
96,94,49,979,2026-04-07 06:25:39.590425
97,51,37,908,2026-04-09 02:06:13.153767
98,33,48,583,2026-04-06 12:14:24.879287
99,36,52,341,2026-04-05 11:23:06.260955
100,40,14,533,2026-04-06 16:50:31.934066
