id,drug_id,pharmacy_id,price,recorded_at
1,47,90,144.69,2026-02-09 21:24:22.374480
2,53,26,506.16,2026-04-10 13:33:08.431458
3,42,29,771.91,2026-02-28 19:21:47.913385
4,100,64,762.85,2026-03-21 16:15:48.821586
5,20,68,399.36,2026-03-24 22:29:18.358656
6,38,16,101.93,2026-01-27 13:41:51.679039
7,24,31,509.31,2026-03-12 22:20:28.426869
8,24,91,64.09,2026-02-19 11:40:01.382481
9,67,27,691.09,2026-03-20 18:22:54.431084
10,92,15,356.95,2026-03-25 08:39:26.457946
11,33,82,921.59,2026-01-07 09:00:35.287129
12,24,95,487.23,2026-02-28 19:50:53.434828
13,45,26,219.58,2026-01-21 11:09:54.296116
14,23,47,202.03,2026-04-06 17:40:35.395027
15,95,26,496.51,2026-02-07 23:26:23.699584
16,100,80,43.5,2026-03-22 08:02:49.431176
17,40,71,393.63,2026-01-27 05:20:41.772236
18,20,10,704.75,2026-01-15 14:07:11.531577
19,67,47,484.07,2026-03-30 12:33:25.800258
20,32,69,732.14,2026-02-23 22:37:09.679115
21,40,16,890.16,2026-03-29 19:01:10.385307
22,78,40,155.85,2026-01-17 07:01:05.549911
23,8,77,661.47,2026-04-04 07:28:21.803315
24,86,5,408.71,2026-03-31 03:41:40.818222
25,21,60,276.76,2026-01-20 23:27:05.486459
26,10,32,92.53,2026-01-19 21:10:44.699568
27,47,1,10.01,2026-03-24 13:57:22.245433
28,9,39,128.85,2026-01-04 14:08:50.995661
29,44,82,186.87,2026-01-30 13:29:20.779747
30,32,36,40.42,2026-01-24 04:16:25.998915
31,23,71,536.0,2026-03-09 09:40:37.284040
32,51,81,361.32,2026-02-21 15:56:14.660731
33,86,81,289.06,2026-03-01 15:03:36.343857
34,48,56,886.1,2026-02-20 17:48:15.715031
35,9,70,307.69,2026-01-02 12:21:29.962123
36,96,23,306.62,2026-02-22 12:29:14.484827
37,41,84,765.4,2026-01-02 18:52:21.310374
38,53,65,398.96,2026-01-10 10:22:30.831029
39,74,84,225.8,2026-02-06 11:26:53.737008
40,28,8,626.42,2026-01-24 12:04:33.211040
41,96,67,817.2,2026-02-14 00:25:13.067139
42,59,66,307.42,2026-02-14 06:11:01.500997
43,36,73,928.43,2026-03-16 19:28:57.809785
44,86,30,119.77,2026-03-12 11:47:55.871928
45,78,50,237.03,2026-04-06 13:49:23.117698
46,27,49,376.77,2026-02-04 13:16:19.912857
47,85,79,312.58,2026-01-20 04:12:12.278426
48,90,13,601.88,2026-01-15 11:03:28.892158
49,7,65,745.17,2026-03-07 07:32:47.657440
50,52,88,630.52,2026-01-13 13:31:22.739717
51,90,94,598.38,2026-01-02 23:55:02.639640
52,89,52,569.11,2026-03-29 10:58:06.012660
53,100,92,918.39,2026-01-04 13:50:16.546782
54,81,25,50.97,2026-03-26 18:59:55.021709
55,91,63,632.57,2026-02-01 09:06:02.797626
56,5,31,22.75,2026-01-07 04:32:15.508844
57,68,80,604.34,2026-02-14 20:13:04.859992
58,10,68,114.96,2026-02-18 14:07:32.174562
59,77,96,107.63,2026-02-24 09:26:08.413725
60,20,34,18.98,2026-02-17 14:00:03.321486
61,33,62,824.65,2026-02-23 12:50:51.601188
62,11,50,365.19,2026-01-03 12:38:57.145350
63,73,16,530.63,2026-04-06 04:50:13.627650
64,42,32,606.51,2026-01-08 11:07:18.600044
65,92,28,213.32,2026-01-24 10:15:14.723659
66,21,67,483.44,2026-02-05 08:14:34.329268
67,11,13,875.45,2026-01-01 15:57:53.547189
68,16,55,386.37,2026-01-04 00:23:52.980661
69,66,49,552.41,2026-03-12 15:33:23.943734
70,6,93,637.8,2026-02-17 14:27:27.589137
71,29,48,460.38,2026-01-06 12:16:51.289115
72,62,12,869.58,2026-02-09 17:22:37.681593
73,35,44,46.2,2026-02-17 01:23:51.462619
74,86,6,329.47,2026-01-16 15:40:36.629787
75,68,32,296.08,2026-03-24 00:32:27.864153
76,51,49,903.88,2026-03-16 14:41:21.100107
77,75,13,204.4,2026-03-23 12:12:29.105773
78,22,81,833.33,2026-03-27 05:54:59.832119
79,3,89,549.16,2026-02-26 12:31:13.307792
80,46,28,690.55,2026-02-19 13:41:13.581793
81,63,18,657.24,2026-01-18 07:27:45.321155
82,70,54,707.8,2026-04-08 08:12:54.684664
83,71,71,558.51,2026-03-06 13:26:17.017608
84,20,71,406.02,2026-03-12 12:08:23.636884
85,18,58,704.86,2026-03-06 19:00:22.019608
86,4,90,452.4,2026-01-09 10:31:26.849614
87,71,71,185.98,2026-04-05 14:06:30.941960
88,83,70,734.43,2026-02-09 22:10:49.412374
89,65,88,363.03,2026-02-10 09:20:41.887895
90,62,31,342.89,2026-03-31 05:02:59.670441
91,93,37,136.05,2026-02-13 13:02:45.570179
92,29,63,154.52,2026-02-27 08:45:09.150573
93,76,33,221.63,2026-03-15 03:03:25.306533
94,39,29,361.11,2026-01-03 18:20:56.405636
95,78,83,774.55,2026-01-05 10:43:22.237049
96,23,93,937.3,2026-02-22 15:36:36.221592
97,14,9,368.4,2026-01-18 01:01:23.405819
98,54,92,190.51,2026-01-27 01:30:12.776066
99,60,58,252.11,2026-01-26 17:41:23.994055
100,25,37,748.43,2026-03-23 14:00:14.055502
