id,user_id,drug_name,search_time
1,75,few,2026-04-09 01:55:04.640742
2,75,significant,2026-04-03 17:36:59.477792
3,6,college,2026-04-07 04:47:06.973082
4,16,trade,2026-04-05 01:40:52.836805
5,18,pull,2026-04-09 08:06:15.179147
6,30,do,2026-04-04 10:46:39.960215
7,4,key,2026-04-06 19:04:41.379325
8,68,agency,2026-04-05 15:11:21.351049
9,71,stop,2026-04-01 00:59:53.172037
10,36,city,2026-04-05 21:46:04.014166
11,91,enjoy,2026-04-11 08:09:41.405901
12,11,memory,2026-04-10 09:07:41.124625
13,32,baby,2026-04-05 18:54:53.111622
14,44,situation,2026-04-07 08:19:33.496707
15,29,measure,2026-04-05 16:57:15.798864
16,62,fire,2026-04-10 09:02:57.459993
17,69,ahead,2026-04-10 10:26:57.681177
18,23,artist,2026-04-06 05:36:58.771820
19,66,reason,2026-04-10 07:41:08.879952
20,41,window,2026-04-05 11:12:55.608883
21,7,safe,2026-04-09 04:43:46.953999
22,35,either,2026-04-11 06:15:04.861173
23,83,alone,2026-04-11 11:28:56.282216
24,21,strategy,2026-04-08 04:25:57.915159
25,82,hit,2026-04-07 15:23:32.964878
26,97,nor,2026-04-07 12:39:19.484584
27,2,attention,2026-04-07 01:50:10.877934
28,14,name,2026-04-09 18:22:08.623644
29,100,rule,2026-04-08 01:53:26.341459
30,52,site,2026-04-02 07:15:54.677021
31,16,walk,2026-04-09 02:54:19.706326
32,98,she,2026-04-05 09:29:20.185516
33,29,us,2026-04-03 07:57:43.396364
34,82,coach,2026-04-07 20:06:55.434444
35,52,social,2026-04-06 04:25:15.623259
36,63,body,2026-04-02 11:15:24.141401
37,34,father,2026-04-09 20:15:54.400208
38,49,hundred,2026-04-05 16:09:03.641051
39,41,let,2026-04-09 16:55:03.802232
40,83,three,2026-04-10 23:09:25.961326
41,41,indicate,2026-04-11 06:52:49.571160
42,40,challenge,2026-04-10 11:28:04.227441
43,40,spring,2026-04-02 05:03:07.546283
44,4,involve,2026-04-09 13:47:09.756038
45,10,tend,2026-04-08 11:19:57.124866
46,72,computer,2026-04-08 14:26:29.195574
47,45,subject,2026-04-07 12:04:51.162396
48,76,herself,2026-04-09 21:37:59.788905
49,60,situation,2026-04-11 10:08:48.337917
50,44,protect,2026-04-11 09:23:39.735321
51,78,partner,2026-04-01 19:17:57.714163
52,7,as,2026-04-07 22:59:12.987892
53,53,determine,2026-04-10 17:44:57.059390
54,5,usually,2026-04-10 06:35:02.230752
55,56,him,2026-04-06 17:09:42.511498
56,9,admit,2026-04-04 14:22:47.778128
57,75,officer,2026-04-03 07:09:49.812010
58,52,front,2026-04-03 20:46:55.542497
59,67,hit,2026-04-09 22:04:36.610640
60,61,stop,2026-04-10 20:45:15.921650
61,49,morning,2026-04-05 05:26:34.082500
62,48,someone,2026-04-09 02:57:58.212342
63,27,indicate,2026-04-01 20:22:20.611856
64,32,Republican,2026-04-03 14:49:58.195031
65,68,discover,2026-04-08 06:00:17.535611
66,86,first,2026-04-04 23:22:37.075917
67,43,fast,2026-04-05 22:19:23.298637
68,90,school,2026-04-09 05:56:18.332838
69,61,well,2026-04-04 11:58:46.508847
70,10,election,2026-04-01 15:26:29.890429
71,52,anyone,2026-04-06 19:53:46.142339
72,47,turn,2026-04-08 03:56:16.282458
73,87,cell,2026-04-11 09:04:02.504196
74,64,miss,2026-04-02 04:44:57.959048
75,34,miss,2026-04-10 03:24:44.939828
76,55,long,2026-04-08 20:51:32.772392
77,24,wrong,2026-04-03 22:59:36.972855
78,63,local,2026-04-04 03:04:50.180020
79,64,today,2026-04-02 15:05:55.535927
80,76,maintain,2026-04-09 23:01:06.670909
81,41,section,2026-04-06 15:05:03.441914
82,37,attention,2026-04-02 15:33:14.894634
83,21,person,2026-04-04 16:00:25.242515
84,52,continue,2026-04-11 13:32:08.941161
85,86,cell,2026-04-05 20:07:33.092008
86,26,half,2026-04-09 23:57:20.930048
87,51,option,2026-04-06 15:18:58.025363
88,57,call,2026-04-10 21:15:54.703233
89,90,determine,2026-04-09 16:34:36.869556
90,51,certainly,2026-04-08 03:41:48.908741
91,37,seat,2026-04-06 15:58:41.427861
92,2,five,2026-04-03 13:01:02.141751
93,89,weight,2026-04-06 06:17:33.486121
94,78,rock,2026-04-09 20:43:00.212798
95,28,subject,2026-04-03 02:27:28.444991
96,29,bad,2026-04-10 21:11:42.570915
97,25,move,2026-04-10 08:13:42.700434
98,66,purpose,2026-04-06 02:46:49.441563
99,3,change,2026-04-03 09:40:06.683944
100,10,Mr,2026-04-09 22:06:27.529953
