id,service_id,provider_id,price,last_updated
1,6,95,894.87,2026-04-10 00:58:00.215342
2,7,54,929.63,2026-04-04 07:15:11.235235
3,8,62,959.86,2026-04-04 17:56:36.712297
4,7,92,559.85,2026-04-09 18:35:51.980621
5,9,13,1402.01,2026-04-04 03:48:29.073191
6,4,77,1015.6,2026-04-02 01:41:35.874815
7,10,99,1668.32,2026-04-07 22:41:33.748175
8,2,11,1588.85,2026-04-05 06:08:41.982787
9,4,66,196.98,2026-04-07 03:51:24.337455
10,5,57,1292.02,2026-04-10 01:02:15.850132
11,1,79,1833.53,2026-04-02 15:19:01.323015
12,5,7,1001.16,2026-04-02 20:08:51.196529
13,2,23,1227.75,2026-04-10 12:24:11.673607
14,7,84,1410.13,2026-04-09 21:03:38.117705
15,9,98,1720.51,2026-04-02 06:19:44.990621
16,8,35,476.56,2026-04-05 02:27:05.029613
17,2,42,1794.5,2026-04-09 04:49:32.039879
18,2,38,941.1,2026-04-10 01:02:39.158223
19,9,1,1997.52,2026-04-01 16:51:26.173360
20,2,99,1199.59,2026-04-11 01:42:42.998827
21,1,72,1355.29,2026-04-08 11:49:33.977402
22,2,13,1932.1,2026-04-09 03:34:29.506310
23,9,7,320.41,2026-04-11 07:56:38.154036
24,4,7,302.74,2026-04-07 10:33:06.943382
25,9,30,821.08,2026-04-10 17:29:41.621582
26,9,5,369.61,2026-04-06 07:40:20.718570
27,1,40,1642.58,2026-04-07 18:43:44.337119
28,6,71,209.64,2026-04-06 11:21:09.278277
29,9,5,1144.56,2026-04-05 17:32:59.029164
30,3,58,1241.73,2026-04-05 21:28:06.662368
31,10,20,994.79,2026-04-04 08:26:49.656420
32,5,70,393.9,2026-04-06 20:45:52.754262
33,4,82,218.9,2026-04-01 13:38:15.751714
34,6,65,1880.54,2026-04-11 10:15:55.766231
35,3,32,857.66,2026-04-04 05:34:44.930934
36,9,86,88.84,2026-04-05 19:06:11.496836
37,1,43,388.19,2026-04-08 10:47:53.457711
38,3,5,1817.25,2026-04-05 04:11:05.414069
39,9,65,537.84,2026-04-03 05:30:10.119577
40,5,25,911.23,2026-04-11 09:36:39.874302
41,4,17,1448.77,2026-04-05 13:33:28.558865
42,9,24,626.89,2026-04-06 03:23:55.470100
43,8,95,1790.36,2026-04-07 09:34:16.239247
44,2,11,1643.78,2026-04-06 01:45:24.804035
45,10,23,1069.24,2026-04-05 14:59:15.369243
46,5,97,1370.63,2026-04-07 01:52:05.452024
47,4,89,1982.59,2026-04-01 06:51:29.266237
48,3,17,1526.42,2026-04-01 19:39:40.943587
49,8,38,1586.53,2026-04-02 11:25:47.277467
50,6,94,131.32,2026-04-04 03:18:41.263809
51,6,28,1358.81,2026-04-05 14:53:51.944467
52,9,22,459.91,2026-04-02 09:54:09.050061
53,5,10,1943.23,2026-04-02 01:53:11.513743
54,7,21,1040.2,2026-04-05 09:57:13.674905
55,1,72,1502.35,2026-04-09 07:49:52.341034
56,10,22,1101.13,2026-04-03 03:23:59.599729
57,5,40,1867.18,2026-04-05 03:57:56.864966
58,5,51,1832.74,2026-04-05 17:13:02.569360
59,9,73,676.45,2026-04-06 13:12:34.387846
60,3,36,1805.63,2026-04-04 12:34:09.250372
61,5,10,867.17,2026-04-03 16:19:47.205359
62,5,51,1622.17,2026-04-11 05:40:17.050159
63,9,36,577.82,2026-04-08 11:33:16.645636
64,9,55,1124.03,2026-04-09 03:19:19.114461
65,9,44,56.02,2026-04-08 09:31:04.021828
66,10,100,1701.63,2026-04-05 07:04:45.427363
67,5,77,273.39,2026-04-04 21:06:11.862581
68,6,64,1573.02,2026-04-06 09:57:24.318944
69,1,63,1725.21,2026-04-04 21:22:19.127984
70,6,38,737.87,2026-04-06 06:54:22.989244
71,3,82,1284.71,2026-04-10 22:25:24.665253
72,1,22,899.82,2026-04-10 13:45:23.165273
73,8,56,988.16,2026-04-06 18:29:28.219538
74,2,60,568.5,2026-04-11 14:58:51.383076
75,8,49,1475.33,2026-04-06 16:52:47.802917
76,6,51,850.06,2026-04-07 23:04:22.285854
77,2,71,1425.42,2026-04-01 18:30:43.062097
78,6,65,875.64,2026-04-05 03:26:18.970761
79,1,12,1277.07,2026-04-02 09:12:34.441101
80,9,48,1337.67,2026-04-10 19:45:38.873648
81,8,22,709.98,2026-04-10 19:16:59.167180
82,9,42,1237.09,2026-04-03 20:42:54.526670
83,3,23,1321.84,2026-04-03 00:43:03.227050
84,10,48,612.25,2026-04-06 22:21:44.357088
85,1,26,1650.0,2026-04-02 00:34:38.347096
86,4,24,951.08,2026-04-06 11:31:16.084731
87,4,13,1506.51,2026-04-05 20:39:20.242910
88,10,13,1087.97,2026-04-10 08:35:06.431121
89,6,44,381.39,2026-04-11 05:47:35.367299
90,4,61,1630.08,2026-04-05 10:12:36.109903
91,4,91,1327.92,2026-04-01 08:52:37.981222
92,4,60,1904.6,2026-04-07 05:28:24.089934
93,4,92,1504.84,2026-04-08 16:01:10.326876
94,2,14,1390.34,2026-04-01 07:42:00.471313
95,6,31,308.33,2026-04-02 00:05:22.945905
96,1,11,273.09,2026-04-09 02:08:11.667761
97,6,97,1965.14,2026-04-09 02:45:21.583714
98,6,33,1542.59,2026-04-10 18:41:09.936740
99,10,100,597.95,2026-04-09 06:57:36.571175
100,10,3,467.07,2026-04-09 08:55:08.908088
