provider_id,name,location,latitude,longitude,contact_number
1,HealthCenter Mccoy LLC,"Unit 5026 Box 5974, DPO AE 80761",68.1820565,152.381644,885-977-9699x2830
2,HealthCenter Fitzgerald-Cline,"096 James Mountains Apt. 837, Keithfurt, SD 78606",-39.42107,-99.431715,(372)501-4569
3,HealthCenter Maldonado PLC,"2453 Garcia Canyon, North Barryborough, VA 77205",82.166992,-63.882404,6808521472
4,HealthCenter Wong-Thomas,"3580 Dylan Course, West Danielle, NH 16449",-46.6284595,58.88342,(361)254-9559x0727
5,HealthCenter Wong PLC,"USCGC Hill, FPO AE 89876",-14.326708,68.672624,953-984-8964x410
6,HealthCenter Robinson PLC,"7228 Stephanie Hill Suite 857, New Hector, PA 89334",0.8918125,1.343396,001-436-900-7634
7,HealthCenter Palmer LLC,"3447 Riley Unions, Whitefort, FL 53193",-35.880091,-57.185023,7069795920
8,"HealthCenter Williams, Walter and Chavez","409 Briana Drives Suite 808, Markland, ID 06350",-47.2494545,-133.330038,941-804-7035x17801
9,"HealthCenter Nunez, Palmer and Russell","79754 Courtney Place, Paulhaven, VA 28801",-70.0505735,153.915625,+1-680-960-7377x79349
10,HealthCenter Guerra Group,"5004 Brown Knoll, Thomasland, OK 30066",-39.5929665,-15.784479,673.341.3777x00228
11,"HealthCenter Lopez, Dorsey and Nguyen","00978 Karina Crest, Lake Kyleport, CT 40798",-64.3303505,124.476076,001-725-542-3415x2485
12,HealthCenter Shelton-Tate,"99086 Calvin Ridge, Masonstad, WY 01280",66.751741,-31.031559,8555853266
13,HealthCenter Davis Group,"85948 Andrew Plaza, Bowenburgh, MS 54994",53.9688345,53.33569,(898)987-7718x71021
14,HealthCenter Garner-Newton,"4128 Miller Stravenue Suite 444, Ashleyberg, CT 66581",-7.33827,-149.013441,308.522.2497
15,HealthCenter Church-Sanchez,"1301 Lewis Flats, Carrilloport, AS 18269",10.5966485,75.096006,355-891-4081
16,"HealthCenter Watson, Williams and Becker","236 Michelle Prairie Apt. 454, Lake Katherinemouth, CA 83607",-25.4410975,81.824529,222.449.9758
17,HealthCenter Hill Group,"4406 Vaughn Flat, South Larryport, AS 61151",87.659403,-39.836044,001-385-411-6576x1571
